Subject,Trial,Sex,Age,Group,Years EDU,LIS,Corsi Span,Raven Raw,Trial_index, Reaction_Time, Response_string, Correct_response, Correctness,ID,observation,AFirst,ALast,BFirst,BLast,Copy,CpyAS4,CpyAS6,CpyAT4,CpyAT6,CpyBS4,CpyBS6,CpyBT4,CpyBT6,SomeA,SomeB
1,1,M,25,HEARING,13,ND,5,34,85,1.63, N, N, CORRECT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,M,25,HEARING,13,ND,5,34,59,1.28, N, N, CORRECT,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,3,M,25,HEARING,13,ND,5,34,26,1.04, C, N, INCORRECT,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,4,M,25,HEARING,13,ND,5,34,4,2.045, C, N, INCORRECT,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,M,25,HEARING,13,ND,5,34,34,1.28, N, N, CORRECT,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6,M,25,HEARING,13,ND,5,34,16,1.065, N, N, CORRECT,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,7,M,25,HEARING,13,ND,5,34,43,2.26, C, C, CORRECT,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,8,M,25,HEARING,13,ND,5,34,74,1.215, N, N, CORRECT,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,9,M,25,HEARING,13,ND,5,34,73,1.325, N, C, INCORRECT,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,10,M,25,HEARING,13,ND,5,34,25,2.13, C, N, INCORRECT,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,11,M,25,HEARING,13,ND,5,34,56,1.205, C, C, CORRECT,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,12,M,25,HEARING,13,ND,5,34,80,4.48, C, N, INCORRECT,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,13,M,25,HEARING,13,ND,5,34,23,1.385, N, C, INCORRECT,1,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,14,M,25,HEARING,13,ND,5,34,7,1.825, N, N, CORRECT,1,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,15,M,25,HEARING,13,ND,5,34,41,7.375, N, N, CORRECT,1,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,16,M,25,HEARING,13,ND,5,34,76,2.245, C, N, INCORRECT,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,17,M,25,HEARING,13,ND,5,34,82,1.05, N, N, CORRECT,1,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,18,M,25,HEARING,13,ND,5,34,35,1.84, C, C, CORRECT,1,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,19,M,25,HEARING,13,ND,5,34,70,4.78, N, N, CORRECT,1,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,20,M,25,HEARING,13,ND,5,34,67,1.97, C, C, CORRECT,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,21,M,25,HEARING,13,ND,5,34,46,1.925, C, C, CORRECT,1,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,22,M,25,HEARING,13,ND,5,34,30,2.295, C, N, INCORRECT,1,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,23,M,25,HEARING,13,ND,5,34,40,5.39, N, C, INCORRECT,1,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,24,M,25,HEARING,13,ND,5,34,33,2.525, N, N, CORRECT,1,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,25,M,25,HEARING,13,ND,5,34,12,1.745, N, N, CORRECT,1,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,26,M,25,HEARING,13,ND,5,34,45,4.015, C, N, INCORRECT,1,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,27,M,25,HEARING,13,ND,5,34,44,1.335, C, C, CORRECT,1,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,28,M,25,HEARING,13,ND,5,34,83,4.4, N, N, CORRECT,1,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,29,M,25,HEARING,13,ND,5,34,65,2.335, C, N, INCORRECT,1,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,30,M,25,HEARING,13,ND,5,34,42,1.2, C, C, CORRECT,1,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,31,M,25,HEARING,13,ND,5,34,79,3.19, C, N, INCORRECT,1,31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,32,M,25,HEARING,13,ND,5,34,10,1.115, N, N, CORRECT,1,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,33,M,25,HEARING,13,ND,5,34,55,2.825, N, N, CORRECT,1,33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,34,M,25,HEARING,13,ND,5,34,71,3.375, C, C, CORRECT,1,34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,35,M,25,HEARING,13,ND,5,34,69,2.665, N, N, CORRECT,1,35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,36,M,25,HEARING,13,ND,5,34,86,5.65, C, N, INCORRECT,1,36,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1,37,M,25,HEARING,13,ND,5,34,52,1.3, N, N, CORRECT,1,37,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1,38,M,25,HEARING,13,ND,5,34,9,0.84, C, C, CORRECT,1,38,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1,39,M,25,HEARING,13,ND,5,34,24,1.13, N, N, CORRECT,1,39,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1,40,M,25,HEARING,13,ND,5,34,37,1.145, N, N, CORRECT,1,40,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1,41,M,25,HEARING,13,ND,5,34,13,1.16, C, N, INCORRECT,1,41,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
